feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
3.0308598131201864e-08,1.1403152264023007e-06,7.120252942399712e-08,3.715825656617387e-07
3.6004440248423915e-08,7.986443213118782e-07,1.5191212887572696e-07,0.0
3.176499727827453e-08,1.8805698124818788e-06,6.790946684917205e-08,1.0837758107767932e-06
5.583016402455151e-08,1.1201131448251286e-06,1.1776139497652448e-07,2.829720848444777e-07
3.4701614342208125e-08,1.6561002036052054e-06,1.1149876233188446e-07,8.900128320619339e-07
2.181608296847799e-08,1.3672510625192225e-06,1.3274564225947032e-07,6.184646824948165e-07
4.153147917588405e-08,1.5826097238261437e-06,7.752695301190925e-08,9.113656545637962e-07
3.154926168708203e-08,8.186637567688656e-07,1.3523554576995165e-07,8.430574053019314e-08
4.137206667977037e-08,1.424300493422262e-06,1.1503063440118191e-07,6.644058174620549e-07
4.11304402767101e-08,1.970359685025014e-06,8.895940777777825e-08,1.2595015942295072e-06
3.492173937043816e-08,1.9029503201956759e-06,1.2034912954175272e-07,1.0498920639574416e-06
1.4978038305042805e-08,2.7679030663835756e-06,9.355453619126677e-08,2.0292745279048783e-06
2.6041433585767382e-08,4.921855565318098e-07,8.380102512636548e-08,0.0
3.260537885704601e-08,1.5420279069678963e-06,1.0781540302719822e-07,7.232295412386125e-07
2.628949765566595e-08,1.1261933811757392e-06,8.964617737816637e-08,4.300367546659457e-07
3.799654488198284e-08,5.568785803225741e-07,1.1434511922335032e-07,0.0
3.4637171747375537e-08,2.024038727945658e-06,1.2527420728601237e-07,1.2549687507395946e-06
3.8388531728421805e-08,1.865084366314872e-06,1.5308789054831055e-07,1.1450305679713628e-06
2.8720163005444927e-08,1.5292454086916736e-06,6.987369946301726e-08,8.857935119214312e-07
3.814098933929467e-08,1.594299153703996e-06,1.6708722196545808e-07,8.531569119527519e-07
4.6917834106684465e-08,1.476383143477096e-06,6.946837368418084e-08,7.383441643429971e-07
4.945037479320471e-08,1.738063034691537e-06,1.188892307202844e-07,9.669318499320077e-07
2.6930473883611928e-08,1.925600802671722e-06,1.1564506091871211e-07,1.1362074678437472e-06
4.5283676884462353e-08,1.706736022913498e-06,1.2599407236354403e-07,9.959214374109563e-07
4.4983700753039976e-08,1.6132664514176495e-06,1.0215773895370598e-07,8.235813093847518e-07
4.6920047159566744e-08,2.104273075651532e-06,1.1489161963793777e-07,1.357972317257524e-06
6.271666767291302e-08,1.4125846146098854e-06,1.2326866463351502e-07,6.405977360325884e-07
5.282565161541709e-08,1.9880988736027932e-06,1.1086788320561179e-07,1.2608520538941844e-06
4.4891222195991274e-08,1.242673601014085e-06,1.4041089182875983e-07,5.086305550295017e-07
3.198083776252596e-08,2.1341240693159395e-06,1.146712444101321e-07,1.4330000166183827e-06
5.084460728568336e-08,1.8959960847710347e-06,1.0619004620692992e-07,1.122495841135717e-06
2.9732954525606867e-08,1.4191780454651907e-06,1.2655480053411828e-07,6.569087495728374e-07
2.618255285473826e-08,2.669159313665758e-07,1.0757812286577117e-07,0.0
2.6353563147875656e-08,1.560648885002418e-06,1.2091635163205516e-07,7.902223843441758e-07
5.230298127970777e-08,8.377936278038798e-07,1.420935168353298e-07,1.0579146407772839e-07
